status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message
153080620724_10157822491300725,"Outstanding meeting with 20 energy executives in Denver, Colorado at K.P. Kauffman Company, Inc. I am grateful for their very warm welcome, time, feedback, and suggestions. A great roundtable discussion!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157822491300725/?type=3,2016-10-04 12:02:28,18475,1359,1280,17114,1206,72,52,1,30,11755.0,61.5,"['Outstanding', 'meeting', 'energy', 'executives', 'Denver', 'Colorado', 'Kauffman', 'Company', 'Inc', 'grateful', 'warm', 'welcome', 'time', 'feedback', 'suggestions', 'great', 'roundtable', 'discussion']"
153080620724_10157822153860725,"Islamic Immigrant Charged With Terror Plot in Hyattsville, Maryland:","Islamic Immigrant Charged With Terror Plot in Hyattsville, Maryland - Breitbart",link,http://www.breitbart.com/jihad/2016/10/03/islamic-immigrant-charged-terror-plot-maryland/,2016-10-04 10:31:51,24352,2660,7251,16134,120,1774,76,245,6003,20837.5,12373.5,"['Islamic', 'Immigrant', 'Charged', 'With', 'Terror', 'Plot', 'Hyattsville', 'Maryland']"
153080620724_10157821368700725,#WomenForTrump bus tour in Florida this week -- THANK YOU!! -DJT,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157821368700725/?type=3,2016-10-04 07:45:26,56455,2742,4055,52294,3644,120,274,4,119,35993.5,244.0,"['WomenForTrump', 'bus', 'tour', 'Florida', 'week', 'THANK', 'YOU']"
153080620724_10157819478800725,THANK YOU for a fabulous evening COLORADO! Lets MAKE AMERICA SAFE AND GREAT AGAIN --- TOGETHER! -DJT,Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157819478800725/?type=3,2016-10-03 22:18:04,36869,3000,2975,33386,2902,408,80,9,84,24465.5,181.5,"['THANK', 'YOU', 'fabulous', 'evening', 'COLORADO', 'Lets', 'MAKE', 'AMERICA', 'SAFE', 'AND', 'GREAT', 'AGAIN', 'TOGETHER']"
153080620724_10157819188730725,"Thank you Colorado! This is a MOVEMENT like NEVER seen before. It is imperative that you ALL get out and VOTE #TrumpPence16 on November 8, 2016. Together, WE will MAKE AMERICA SAFE & GREAT AGAIN! I AM WITH YOU! -DJT","Instagram video by Donald J. Trump • Oct 4, 2016 at 1:24am UTC",video,https://instagram.com/p/BLH1nOIDSyu/,2016-10-03 20:31:55,34160,2883,4592,30308,3159,550,78,6,59,25751.0,127.0,"['Thank', 'Colorado', 'This', 'MOVEMENT', 'like', 'NEVER', 'seen', 'It', 'imperative', 'ALL', 'get', 'VOTE', 'November', 'Together', 'WE', 'MAKE', 'AMERICA', 'SAFE', 'GREAT', 'AGAIN', 'AM', 'WITH', 'YOU']"
153080620724_10157818569780725,"""I'M FOR DONALD....{HILLARY} IS NOT THE ONE TO CHANGE THIS NATION.""
Johnny Bench | Baseball Legend",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157818569780725/?type=3,2016-10-03 18:30:34,46612,2444,4765,43592,2641,94,194,11,80,31678.5,176.5,"['FOR', 'DONALD', 'HILLARY', 'IS', 'NOT', 'THE', 'ONE', 'TO', 'CHANGE', 'THIS', 'NATION', 'Johnny', 'Bench', 'Baseball', 'Legend']"
153080620724_10157818288320725,"Thank you Pueblo, Colorado! A beautiful rally - in a state that we weren't given much of a chance in. Together, we are going to MAKE AMERICA SAFE & GREAT AGAIN - I LOVE YOU!",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157818288320725/?type=3,2016-10-03 16:45:25,22570,2047,1119,20490,1895,57,67,4,57,13875.5,120.0,"['Thank', 'Pueblo', 'Colorado', 'beautiful', 'rally', 'state', 'given', 'much', 'chance', 'going', 'MAKE', 'AMERICA', 'SAFE', 'GREAT', 'AGAIN', 'LOVE', 'YOU']"
153080620724_10157816770475725,"This is a MOVEMENT ~ like NEVER seen before. Together, we are going to take back our country- and WE will MAKE AMERICA SAFE & GREAT AGAIN!
-DJT",Timeline Photos,photo,https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157816770475725/?type=3,2016-10-03 16:00:02,80350,5140,17557,71678,6313,1606,597,27,129,70093.5,298.5,"['This', 'MOVEMENT', 'like', 'NEVER', 'seen', 'going', 'take', 'back', 'WE', 'MAKE', 'AMERICA', 'SAFE', 'GREAT', 'AGAIN']"
153080620724_10157811992315725,"We can't trust the DISHONEST media! We must bring the truth directly to the hard-working Americans who want to take our country back.

Help us bring the TRUTH by joining my #BigLeagueTruth Team! We're going to fact check Crooked Hillary -- BIG TIME!

Sign up here: http://bigleaguetruth.com",,video,https://www.facebook.com/DonaldTrump/videos/10157811992315725/,2016-10-03 15:06:55,21467,2335,2773,19944,1200,55,177,7,84,15386.5,178.5,"['We', 'ca', 'trust', 'DISHONEST', 'media', 'We', 'must', 'bring', 'truth', 'Americans', 'want', 'take', 'country', 'Help', 'us', 'bring', 'TRUTH', 'joining', 'BigLeagueTruth', 'Team', 'We', 'going', 'fact', 'check', 'Crooked', 'Hillary', 'BIG', 'TIME', 'Sign', 'http']"
153080620724_10157817342670725,www.ClintonKaine.com,,status,,2016-10-03 13:27:01,54873,4765,11710,40949,2586,282,10812,24,220,40907.5,476.0,[]
