status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,good_reception,bad_reception,reduce_message,pos_words,neg_words,neu_words
52293590957_10150563928745958,WWW.PILEOFKITTENS.COM. Dig it.,,status,,2012-02-15 01:52:48,1,0,0,1,0,0,0,0,0,0.5,0.0,['dig'],0,0,1
52293590957_10150555558570958,"Come on guys! Get our likes up here on Facebook! Tell your family, tell your friends! Get involved in the cause. We'll love you for it.",,status,,2012-02-11 16:45:04,1,0,0,1,0,0,0,0,0,0.5,0.0,"['come', 'guys', 'get', 'likes', 'facebook', 'tell', 'family', 'tell', 'friends', 'get', 'involved', 'cause', 'love']",2,0,11
52293590957_10150546853385958,Thursday 2/16 at Fat Baby. We'll be living large.,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150546853385958/?type=3,2012-02-08 01:14:08,3,1,1,3,0,0,0,0,0,3.0,0.0,"['thursday', 'fat', 'baby', 'living', 'large']",0,1,4
52293590957_10150546404195958,"Ok kittens, we're brewing something up for next week.  Keep your eyes peeled.",,status,,2012-02-07 20:53:48,4,1,1,4,0,0,0,0,0,3.5,0.0,"['kittens', 'brewing', 'something', 'next', 'week', 'keep', 'eyes', 'peeled']",0,1,7
52293590957_10150533460360958,"Drummer Tracey Andronaco and bass player Zach Lanier, having a pre-show discussion.",Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150533460360958/?type=3,2012-02-02 01:37:19,1,0,0,1,0,0,0,0,0,0.5,0.0,"['drummer', 'tracey', 'andronaco', 'bass', 'player', 'zach', 'lanier', 'discussion']",0,0,8
52293590957_10150520216285958,Ooops! That last post was deleted by accident. We just wanted to thank everyone who came out on Wednesday night to show their support. It was an awesome show and we had a fun time playing it. We'll be back soon with more shows and more songs! Keep it here for updates. We also have a twitter: @POK_Band. So follow us.,,status,,2012-01-27 12:48:36,1,0,0,1,0,0,0,0,0,0.5,0.0,"['ooops', 'last', 'post', 'deleted', 'accident', 'wanted', 'thank', 'everyone', 'came', 'wednesday', 'night', 'show', 'support', 'awesome', 'show', 'fun', 'time', 'playing', 'shows', 'songs', 'keep', 'updates', 'twitter', 'follow']",4,0,20
52293590957_10150516352480958,"Sorry peeps, we just learned there is a $5 cover for tonight. Head to the back of the bar.  On the plus side there are also tables and chairs (for either siting or throwing)",,status,,2012-01-25 19:34:17,1,0,0,1,0,0,0,0,0,0.5,0.0,"['sorry', 'peeps', 'learned', 'tonight', 'head', 'bar', 'plus', 'side', 'tables', 'chairs', 'either', 'siting', 'throwing']",0,1,12
52293590957_10150514750355958,POK plays Parkside tonight at 10PM! Be there!,,status,,2012-01-25 03:31:01,0,0,0,0,0,0,0,0,0,0.0,0.0,"['pok', 'plays', 'parkside', 'tonight']",0,0,4
52293590957_10150512538845958,Late night of screening new shirts for the show. Some one thought we needed more colors besides just black.,Timeline Photos,photo,https://www.facebook.com/pileofkittens/photos/a.10150443028220958.363097.52293590957/10150512538845958/?type=3,2012-01-24 02:52:33,0,0,0,0,0,0,0,0,0,0.0,0.0,"['night', 'screening', 'new', 'shirts', 'show', 'thought', 'needed', 'colors', 'besides', 'black']",0,0,10
52293590957_10150476384275958,"Currently there is an open spot on our upcoming show at Parkside Lounge.  If you or a band you know are interested in playing, get in touch.  Parkside has a full backline.",,status,,2012-01-06 11:21:33,0,0,1,0,0,0,0,0,0,1.5,0.0,"['open', 'spot', 'upcoming', 'show', 'parkside', 'lounge', 'band', 'know', 'interested', 'playing', 'get', 'touch', 'parkside', 'full', 'backline']",0,0,15
52293590957_10150458551905958,Burning the midnight oil. Who else is up?,,status,,2011-12-28 02:21:22,0,0,0,0,0,0,0,0,0,0.0,0.0,"['burning', 'midnight', 'oil', 'who']",0,1,3
52293590957_10150443043545958,Check out some of the photos available for viewing from the BK shoot this past weekend.,,status,,2011-12-19 17:35:52,1,0,0,1,0,0,0,0,0,0.5,0.0,"['check', 'photos', 'available', 'viewing', 'shoot', 'past', 'weekend']",1,0,6
